title,description,question_id
"Белый","Андрей Белый",775
"Хром","Для нержавейки",776
"Чуйков","Василий Чуйков",777
"Уран","Ледяной гигант",778
"Баклажан","Для икры",779
"Роллерспорт","На роликах",780
"Кролик","Для крольчатины",781
"Саке","Из риса",782
"Венгрия","Родина гуляша",783
"Перро","Шарль Перро",784
"Ртуть","В лампах",785
"Хоу","Горди Хоу",786
"Уран","Вращение лежа",787
"Слива","С косточкой",788
"Бадминтон","С перьями",789
"Тофу","Соевый продукт",791
"Нью-Дели","Столица Индии",792
"Набоков","Владимир Набоков",793
"Аргон","Инертный газ",794
"1991","Конец Холодной войны",795
"Меркурий","Короткий период",796
"Капуста","Для капустняка",797
"Мотокросс","На мотоцикле",798
"Дельфин","Умное животное",799
"Джин","Из можжевельника",800
"Франция","Родина устриц",801
"Пушкин","Александр Пушкин",802
"Медь","Для проводов",803
"Апраксин","Фёдор Апраксин",804
"Уран","Алмазные дожди",805
"Дуриан","Король фруктов",806
"Девять","Игроков в бейсболе",807
"Гепард","Символ скорости",808
"Кумыс","Из кобыльего молока",809
"Буэнос-Айрес","Столица Аргентины",810
"Матисс","Анри Матисс",811
"Ртуть","В термометрах",812
"Февраль","Конец високосного",813
"Уран","Холодная звезда",814
"Андерсен","Ганс Андерсен",815
"Грейпфрут","Розовый и зелёный",816
"Борьба","Захваты и удержания",817
"Собака","Холодец",818
"Мисо","Японский суп",819
"Северный Ледовитый","Маленький океан",820
"Дюма","Александр Дюма",821
"Шестьдесят","Минут в часе",823
"Метеорит","Падающая звезда",824
"Гранат","С сочной мякотью",825
"Англия","Уимблдон",826
"Кенгуру","Прыгучее животное",827
"Нут","Для хумуса",828
"Дунай","Река в Вене",829
"Толстой","Лев Толстой",830
"Шепард","Алан Шепард",832
"Меркурий","Большой перепад температур",833
"Абрикос","Для урюка",834
"Гимнастика","На кольцах",835
"Лошадь","Логотип Ferrari",836
"Пейот","Кактусовый напиток",837
"Лермонтов","Михаил Лермонтов",839
"Азот","Элемент N",840
